"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D14","ESD_0402","21.717mm","-41.101mm","21.717mm","-41.101mm","21.717mm","-41.601mm","B","90.00","VMNZC68CST2RA"
"D8","ESD_0402","9.001mm","-1.794mm","9.001mm","-1.794mm","9.001mm","-1.294mm","B","270.00","VMNZC68CST2RA"
"D7","ESD_0402","10.271mm","-1.794mm","10.271mm","-1.794mm","10.271mm","-1.294mm","B","270.00","VMNZC68CST2RA"
"D6","ESD_0402","5.318mm","-0.778mm","5.318mm","-0.778mm","5.818mm","-0.778mm","T","180.00","VMNZC68CST2RA"
"A2","3216","82.92mm","-23.107mm","82.92mm","-23.107mm","83.395mm","-21.407mm","B","270.00","ASC_RFANT3216120A5T_V07"
"C1","C_0402","21.6248mm","-39.8686mm","21.6248mm","-39.8686mm","21.6248mm","-40.3686mm","T","90.00","1uF"
"C10","C_0402","19.558mm","-37.672mm","19.558mm","-37.672mm","19.058mm","-37.672mm","T","0.00","104"
"C100","C_0402","17.1346mm","-11.2913mm","17.1346mm","-11.2913mm","16.781mm","-11.6449mm","B","45.00","NC/104"
"C101","C_0402","17.0076mm","-13.3995mm","17.0076mm","-13.3995mm","17.3611mm","-13.046mm","B","225.00","NC/104"
"C102","C_0402","12.8165mm","-9.8434mm","12.8165mm","-9.8434mm","12.463mm","-9.4898mm","T","315.00","104"
"C103","C_0402","13.5785mm","-9.0814mm","13.5785mm","-9.0814mm","13.225mm","-8.7278mm","T","315.00","104"
"C104","C_0402","14.3405mm","-8.3194mm","14.3405mm","-8.3194mm","13.987mm","-7.9658mm","T","315.00","104"
"C105","C_0402","15.1025mm","-7.5574mm","15.1025mm","-7.5574mm","14.749mm","-7.2038mm","T","315.00","104"
"C106","C_0402","15.8645mm","-6.7954mm","15.8645mm","-6.7954mm","15.511mm","-6.4418mm","T","315.00","104"
"C109","C_0402","22.2552mm","-21.7885mm","22.2552mm","-21.7885mm","22.2552mm","-21.2885mm","T","270.00","NC/10pF"
"C111","C_0402","53.5526mm","-23.4602mm","53.5526mm","-23.4602mm","54.0526mm","-23.4602mm","T","180.00","104"
"C113","C_0805","32.639mm","-5.287mm","32.639mm","-5.287mm","33.589mm","-5.287mm","T","180.00","10uF-50V"
"C114","C_0603","32.131mm","-2.493mm","32.131mm","-2.493mm","32.9565mm","-2.493mm","T","180.00","10uF"
"C115","C_0402","31.623mm","-3.763mm","31.623mm","-3.763mm","32.123mm","-3.763mm","T","180.00","102"
"C116","C_0402","31.623mm","-7.446mm","31.623mm","-7.446mm","32.123mm","-7.446mm","T","180.00","104-50V"
"C117","C_0402","19.9992mm","-35.7792mm","19.9992mm","-35.7792mm","20.4992mm","-35.7792mm","B","180.00","1uF"
"C118","C_0402","29.464mm","-6.811mm","29.464mm","-6.811mm","28.964mm","-6.811mm","T","360.00","1uF"
"C120","C_0402","36.957mm","-3.382mm","36.957mm","-3.382mm","36.957mm","-2.882mm","B","270.00","104"
"C121","C_0603","34.925mm","-1.604mm","34.925mm","-1.604mm","34.925mm","-2.4295mm","T","90.00","10uF"
"C122","C_0603","36.703mm","-0.842mm","36.703mm","-0.842mm","36.703mm","-0.0165mm","B","270.00","10uF"
"C123","C_0402","37.973mm","-1.35mm","37.973mm","-1.35mm","37.973mm","-0.85mm","B","270.00","104"
"C142","C_0603","26.654mm","-20.8186mm","26.654mm","-20.8186mm","26.654mm","-19.9931mm","B","270.00","4.7uF"
"C145","C_0402","5.191mm","-4.08mm","5.191mm","-4.08mm","4.691mm","-4.08mm","T","360.00","104"
"C146","C_0603","5.064mm","-2.429mm","5.064mm","-2.429mm","4.2385mm","-2.429mm","T","360.00","4.7uF"
"C148","C_0402","37.7847mm","-14.9234mm","37.7847mm","-14.9234mm","38.2847mm","-14.9234mm","T","180.00","104"
"C15","C_0603","47.7614mm","-38.2938mm","47.7614mm","-38.2938mm","46.9359mm","-38.2938mm","B","0.00","4.7uF"
"C152","C_0603","76.708mm","-1.35mm","76.708mm","-1.35mm","75.8825mm","-1.35mm","B","0.00","4.7uF"
"C154","C_0402","77.708mm","-6.7112mm","77.708mm","-6.7112mm","77.708mm","-6.2112mm","T","270.00","104"
"C155","C_0603","76.327mm","-6.176mm","76.327mm","-6.176mm","76.327mm","-5.3505mm","T","270.00","4.7uF"
"C156","C_0402","74.538mm","-17.138mm","74.538mm","-17.138mm","74.538mm","-17.638mm","B","90.00","104"
"C157","C_0603","75.681mm","-16.757mm","75.681mm","-16.757mm","75.681mm","-17.5825mm","B","90.00","4.7uF"
"C158","C0402","20.828mm","-41.101mm","20.828mm","-41.101mm","20.828mm","-40.601mm","B","270.00","104"
"C159","C_0603","19.685mm","-40.593mm","19.685mm","-40.593mm","19.685mm","-39.7675mm","B","270.00","22uF"
"C16","C_0402","40.7002mm","-19.701mm","40.7002mm","-19.701mm","40.7002mm","-19.201mm","B","270.00","1uF"
"C17","C_0402","28.575mm","-44.2758mm","28.575mm","-44.2758mm","28.075mm","-44.2758mm","T","360.00","104"
"C173","C_0402","81.142mm","-40.125mm","81.142mm","-40.125mm","80.642mm","-40.125mm","B","360.00","224"
"C174","C_0402","80.507mm","-35.045mm","80.507mm","-35.045mm","80.507mm","-34.545mm","B","270.00","22pF"
"C175","C_0402","73.141mm","-41.141mm","73.141mm","-41.141mm","72.641mm","-41.141mm","B","360.00","105"
"C176","C_0402","73.141mm","-42.03mm","73.141mm","-42.03mm","72.641mm","-42.03mm","B","360.00","105"
"C177","C_0603","76.824mm","-31.235mm","76.824mm","-31.235mm","77.6495mm","-31.235mm","B","180.00","4.7uF"
"C178","C_0603","73.279mm","-39.069mm","73.279mm","-39.069mm","73.279mm","-38.2435mm","B","270.00","4.7uF"
"C179","C_0603","82.539mm","-34.283mm","82.539mm","-34.283mm","83.3645mm","-34.283mm","B","180.00","4.7uF"
"C18","C_0402","42.6306mm","-29.607mm","42.6306mm","-29.607mm","43.1306mm","-29.607mm","B","180.00","1uF"
"C181","C0402","84.317mm","-38.347mm","84.317mm","-38.347mm","84.317mm","-37.847mm","B","270.00","10pf"
"C182","C_0402","83.428mm","-38.347mm","83.428mm","-38.347mm","83.428mm","-38.847mm","B","90.00","NC"
"C183","C_0402","85.206mm","-38.347mm","85.206mm","-38.347mm","85.206mm","-37.847mm","B","270.00","NC"
"C186","C_0402","69.585mm","-28.695mm","69.585mm","-28.695mm","69.585mm","-28.195mm","B","270.00","100nF"
"C187","C_0402","69.342mm","-21.035mm","69.342mm","-21.035mm","69.842mm","-21.035mm","T","180.00","100nF"
"C188","C_0402","78.094mm","-23.361mm","78.094mm","-23.361mm","78.094mm","-23.861mm","B","90.00","0.8pF"
"C189","C_0402","79.364mm","-24.758mm","79.364mm","-24.758mm","78.864mm","-24.758mm","B","0.00","NC"
"C19","C_0402","30.861mm","-44.276mm","30.861mm","-44.276mm","31.361mm","-44.276mm","T","180.00","104"
"C190","C_0402","79.364mm","-25.647mm","79.364mm","-25.647mm","78.864mm","-25.647mm","B","0.00","100pF"
"C191","C_0402","75.681mm","-27.679mm","75.681mm","-27.679mm","75.181mm","-27.679mm","T","360.00","100nF"
"C192","C_0402","80.253mm","-31.108mm","80.253mm","-31.108mm","80.753mm","-31.108mm","B","180.00","12pF"
"C193","C_0402","80.38mm","-26.536mm","80.38mm","-26.536mm","80.88mm","-26.536mm","B","180.00","12pF"
"C194","C_0402","72.887mm","-28.822mm","72.887mm","-28.822mm","73.387mm","-28.822mm","B","180.00","1.0uF"
"C195","C_0603","69.458mm","-28.314mm","69.458mm","-28.314mm","69.458mm","-27.4885mm","T","270.00","4.7uF"
"C196","C_0402","75.3mm","-42.919mm","75.3mm","-42.919mm","75.3mm","-42.419mm","B","270.00","9pF"
"C197","C_0402","80.38mm","-42.919mm","80.38mm","-42.919mm","80.38mm","-42.419mm","B","270.00","9pF"
"C198","C_0603","68.453mm","-35.767mm","68.453mm","-35.767mm","68.453mm","-34.9415mm","T","270.00","10uF"
"C199","C_0603","65.902mm","-31.362mm","65.902mm","-31.362mm","65.902mm","-32.1875mm","B","90.00","10uF"
"C2","C_0603","17.5354mm","-35.8046mm","17.5354mm","-35.8046mm","17.5354mm","-34.9791mm","T","270.00","10uF"
"C20","C_0603","43.18mm","-18.114mm","43.18mm","-18.114mm","44.0055mm","-18.114mm","B","180.00","4.7uF"
"C200","C_0402","59.436mm","-29.163mm","59.436mm","-29.163mm","59.436mm","-29.663mm","B","90.00","1uF"
"C201","C_0402","62.23mm","-33.354mm","62.23mm","-33.354mm","62.73mm","-33.354mm","B","180.00","0.1uF"
"C204","C0402","61.214mm","-20.654mm","61.214mm","-20.654mm","61.214mm","-20.154mm","T","270.00","1uF"
"C205","C_0402","82.158mm","-35.553mm","82.158mm","-35.553mm","82.658mm","-35.553mm","B","180.00","22pF"
"C206","C_0402","79.872mm","-23.361mm","79.872mm","-23.361mm","79.872mm","-22.861mm","B","270.00","NC"
"C21","C_0402","39.243mm","-24.337mm","39.243mm","-24.337mm","39.243mm","-24.837mm","B","90.00","1uF"
"C22","C_0402","40.259mm","-24.337mm","40.259mm","-24.337mm","40.259mm","-24.837mm","B","90.00","1uF"
"C23","C_0402","38.1mm","-24.337mm","38.1mm","-24.337mm","38.1mm","-24.837mm","B","90.00","1uF"
"C24","C_0402","48.26mm","-31.322mm","48.26mm","-31.322mm","48.76mm","-31.322mm","B","180.00","104"
"C25","C_0402","48.26mm","-28.1592mm","48.26mm","-28.1592mm","48.76mm","-28.1592mm","B","180.00","104"
"C26","C_0402","48.26mm","-26.2034mm","48.26mm","-26.2034mm","48.76mm","-26.2034mm","B","180.00","104"
"C27","C_0402","48.26mm","-25.1366mm","48.26mm","-25.1366mm","48.76mm","-25.1366mm","B","180.00","104"
"C28","C_0402","48.26mm","-33.862mm","48.26mm","-33.862mm","48.76mm","-33.862mm","B","180.00","1uF"
"C29","C_0402","20.0771mm","-34.6117mm","20.0771mm","-34.6117mm","19.5771mm","-34.6117mm","B","0.00","104"
"C3","C0402","16.0368mm","-36.1094mm","16.0368mm","-36.1094mm","16.0368mm","-35.6094mm","T","270.00","104"
"C30","C_0402","48.26mm","-32.846mm","48.26mm","-32.846mm","48.76mm","-32.846mm","B","180.00","104"
"C33","C_0402","20.723mm","-26.6264mm","20.723mm","-26.6264mm","20.223mm","-26.6264mm","T","0.00","1uF"
"C34","C_0402","31.2061mm","-17.9968mm","31.2061mm","-17.9968mm","30.8526mm","-17.6432mm","T","315.00","1uF"
"C35","C_0402","34.2795mm","-18.8604mm","34.2795mm","-18.8604mm","34.2795mm","-18.3604mm","T","270.00","104"
"C36","C_0402","20.7225mm","-30.3646mm","20.7225mm","-30.3646mm","20.2225mm","-30.3646mm","T","0.00","104"
"C37","C_0402","21.59mm","-45.165mm","21.59mm","-45.165mm","21.59mm","-45.665mm","T","90.00","18pF-1%"
"C38","C_0402","21.59mm","-43.133mm","21.59mm","-43.133mm","21.59mm","-42.633mm","T","270.00","18pF-1%"
"C39","C_0603","65.405mm","-14.05mm","65.405mm","-14.05mm","65.405mm","-13.2245mm","T","270.00","4.7uF"
"C4","C_0603","18.9832mm","-39.7416mm","18.9832mm","-39.7416mm","18.9832mm","-40.5671mm","T","90.00","4.7uF"
"C40","C_0603","60.706mm","-14.05mm","60.706mm","-14.05mm","60.706mm","-14.8755mm","T","90.00","10uF"
"C41","C_0603","15.113mm","-43.641mm","15.113mm","-43.641mm","15.9385mm","-43.641mm","T","180.00","4.7uF"
"C42","C_0402","65.151mm","-18.876mm","65.151mm","-18.876mm","65.651mm","-18.876mm","T","180.00","1uF"
"C43","C_0402","24.511mm","-3.382mm","24.511mm","-3.382mm","24.511mm","-3.882mm","B","90.00","47pF"
"C44","C_0603","68.199mm","-18.368mm","68.199mm","-18.368mm","67.3735mm","-18.368mm","T","360.00","10uF"
"C45","C_0603","62.357mm","-19.003mm","62.357mm","-19.003mm","63.1825mm","-19.003mm","T","180.00","10uF"
"C46","C_0603","71.374mm","-0.842mm","71.374mm","-0.842mm","71.374mm","-1.6675mm","T","90.00","10uF"
"C47","C_0603","71.12mm","-8.208mm","71.12mm","-8.208mm","70.2945mm","-8.208mm","T","0.00","10uF"
"C48","C_0402","72.517mm","-1.223mm","72.517mm","-1.223mm","72.517mm","-1.723mm","T","90.00","102"
"C49","C_0402","29.2508mm","-18.7849mm","29.2508mm","-18.7849mm","29.6044mm","-19.1385mm","T","135.00","4.7uF"
"C5","C_0402","17.4592mm","-39.386mm","17.4592mm","-39.386mm","17.4592mm","-39.886mm","T","90.00","104"
"C50","C_0603","25.4mm","-0.842mm","25.4mm","-0.842mm","25.4mm","-0.0165mm","B","270.00","4.7uF"
"C51","C_0402","15.494mm","-1.858mm","15.494mm","-1.858mm","15.494mm","-2.358mm","B","90.00","104"
"C52","C_0603","22.606mm","-3.509mm","22.606mm","-3.509mm","21.7805mm","-3.509mm","B","0.00","10uF"
"C53","C_0603","59.182mm","-11.637mm","59.182mm","-11.637mm","59.182mm","-10.8115mm","T","270.00","10uF"
"C54","C_0603","57.658mm","-9.478mm","57.658mm","-9.478mm","57.658mm","-8.6525mm","T","270.00","10uF"
"C55","C_0603","66.929mm","-0.969mm","66.929mm","-0.969mm","66.929mm","-1.7945mm","B","90.00","10uF"
"C56","C_0402","68.199mm","-1.35mm","68.199mm","-1.35mm","68.199mm","-1.85mm","B","90.00","102"
"C57","C_0603","67.183mm","-0.842mm","67.183mm","-0.842mm","67.183mm","-1.6675mm","T","90.00","10uF"
"C58","C_0402","53.467mm","-25.48mm","53.467mm","-25.48mm","53.467mm","-25.98mm","B","90.00","47pF"
"C59","C_0402","59.436mm","-7.7mm","59.436mm","-7.7mm","58.936mm","-7.7mm","T","0.00","1uF"
"C60","C_0402","59.436mm","-6.811mm","59.436mm","-6.811mm","59.936mm","-6.811mm","T","180.00","1uF"
"C61","C_0603","68.58mm","-0.842mm","68.58mm","-0.842mm","68.58mm","-1.6675mm","T","90.00","4.7uF"
"C62","C_0402","59.436mm","-4.144mm","59.436mm","-4.144mm","58.936mm","-4.144mm","T","360.00","1uF"
"C63","C_0603","63.5mm","-14.05mm","63.5mm","-14.05mm","63.5mm","-14.8755mm","T","90.00","4.7uF"
"C64","C_0603","55.245mm","-28.274mm","55.245mm","-28.274mm","54.4195mm","-28.274mm","B","360.00","4.7uF"
"C65","C_0402","61.849mm","-28.782mm","61.849mm","-28.782mm","61.849mm","-28.282mm","B","270.00","104"
"C66","C_0603","62.992mm","-29.29mm","62.992mm","-29.29mm","62.992mm","-28.4645mm","B","270.00","22uF"
"C67","C_0603","60.579mm","-1.223mm","60.579mm","-1.223mm","60.579mm","-2.0485mm","T","90.00","4.7uF"
"C68","C_0603","62.103mm","-14.05mm","62.103mm","-14.05mm","62.103mm","-13.2245mm","T","270.00","10uF"
"C69","C_0603","69.977mm","-0.842mm","69.977mm","-0.842mm","69.977mm","-0.0165mm","T","270.00","4.7uF"
"C7","C_0402","48.3202mm","-30.3182mm","48.3202mm","-30.3182mm","48.8202mm","-30.3182mm","T","180.00","104"
"C70","C_0402","70.0293mm","-11.129mm","70.0293mm","-11.129mm","70.5293mm","-11.129mm","T","180.00","102"
"C71","C_0402","59.436mm","-5.033mm","59.436mm","-5.033mm","58.936mm","-5.033mm","T","360.00","1uF"
"C72","C_0603","55.245mm","-29.671mm","55.245mm","-29.671mm","54.4195mm","-29.671mm","B","360.00","10uF"
"C73","C_0603","62.865mm","-39.577mm","62.865mm","-39.577mm","62.865mm","-38.7515mm","B","270.00","10uF"
"C8","C_0603","20.0246mm","-36.2618mm","20.0246mm","-36.2618mm","19.1991mm","-36.2618mm","T","0.00","10uF"
"C81","C_0402","11.4449mm","-12.5612mm","11.4449mm","-12.5612mm","11.7985mm","-12.9147mm","T","135.00","104"
"C82","C_0402","37.7944mm","-12.8289mm","37.7944mm","-12.8289mm","38.2944mm","-12.8289mm","T","180.00","104"
"C83","C_0402","10.6067mm","-13.3232mm","10.6067mm","-13.3232mm","10.2532mm","-12.9696mm","T","315.00","104"
"C84","C_0402","37.7707mm","-11.7197mm","37.7707mm","-11.7197mm","37.2707mm","-11.7197mm","T","0.00","104"
"C85","C_0402","20.3096mm","-16.8285mm","20.3096mm","-16.8285mm","19.956mm","-17.1821mm","B","45.00","NC/104"
"C86","C_0402","21.9606mm","-15.1775mm","21.9606mm","-15.1775mm","22.3141mm","-14.824mm","B","225.00","NC/104"
"C87","C_0402","10.5716mm","-18.3864mm","10.5716mm","-18.3864mm","10.2181mm","-18.74mm","B","45.00","NC/104"
"C88","C_0402","19.5476mm","-18.353mm","19.5476mm","-18.353mm","19.194mm","-17.9995mm","B","315.00","NC/104"
"C89","C_0402","12.6896mm","-16.3205mm","12.6896mm","-16.3205mm","13.0431mm","-15.967mm","B","225.00","NC/104"
"C9","C_0402","20.0754mm","-34.7378mm","20.0754mm","-34.7378mm","19.5754mm","-34.7378mm","T","0.00","104"
"C90","C_0402","4.6885mm","-20.5114mm","4.6885mm","-20.5114mm","4.335mm","-20.1578mm","T","315.00","104"
"C91","C_0402","4.8155mm","-19.1144mm","4.8155mm","-19.1144mm","4.462mm","-18.7608mm","T","315.00","104"
"C92","C_0402","5.5775mm","-18.3524mm","5.5775mm","-18.3524mm","5.224mm","-17.9988mm","T","315.00","104"
"C93","C_0402","6.3395mm","-17.5904mm","6.3395mm","-17.5904mm","5.986mm","-17.2368mm","T","315.00","104"
"C94","C_0402","7.1015mm","-16.8284mm","7.1015mm","-16.8284mm","6.748mm","-16.4748mm","T","315.00","104"
"C95","C_0402","9.1589mm","-14.8472mm","9.1589mm","-14.8472mm","9.5125mm","-15.2007mm","T","135.00","104"
"C96","C_0402","15.3566mm","-17.2095mm","15.3566mm","-17.2095mm","15.003mm","-17.5631mm","B","45.00","104"
"C97","C_0402","15.8676mm","-21.4561mm","15.8676mm","-21.4561mm","15.5141mm","-21.8097mm","B","45.00","NC/104"
"C98","C_0402","14.1455mm","-22.9926mm","14.1455mm","-22.9926mm","14.4991mm","-22.639mm","B","225.00","NC/104"
"C99","C_0402","15.0284mm","-13.8313mm","15.0284mm","-13.8313mm","15.382mm","-13.4778mm","B","225.00","NC/104"
"D1","LED0402","57.023mm","-13.923mm","57.023mm","-13.923mm","57.023mm","-14.398mm","T","90.00","LED"
"D10","LED_0603","11.1092mm","-37.1254mm","11.1092mm","-37.1254mm","11.1092mm","-36.4269mm","T","270.00","Yellow LED"
"D11","LED_0603","8.747mm","-37.1254mm","8.747mm","-37.1254mm","8.747mm","-36.4269mm","T","270.00","WHITE LED"
"D12","PROGRAM_1/2","28.194mm","-2.62mm","28.194mm","-2.62mm","27.244mm","-2.62mm","T","90.00","SS14/IN5819"
"D13","ESD_0402","74.93mm","-6.711mm","74.93mm","-6.711mm","74.93mm","-7.211mm","T","90.00","VMNZC68CST2RA"
"D15","ESD_0402","73.649mm","-17.138mm","73.649mm","-17.138mm","73.649mm","-17.638mm","B","90.00","VMNZC68CST2RA"
"D16","LED0402","6.604mm","-37.164mm","6.604mm","-37.164mm","6.604mm","-36.689mm","T","270.00","POWER"
"D2","ESD_0402","70.612mm","-38.569mm","70.612mm","-38.569mm","70.612mm","-39.069mm","T","90.00","VMNZC68CST2RA"
"D3","PROGRAM_1/2","62.992mm","-36.402mm","62.992mm","-36.402mm","62.992mm","-35.452mm","B","180.00","1N5819"
"D4","ESD_0402","86.995mm","-10.113mm","86.995mm","-10.113mm","86.995mm","-10.613mm","T","90.00","VMNZC68CST2RA"
"D5","ESD_0402","53.848mm","-11.51mm","53.848mm","-11.51mm","53.848mm","-11.01mm","T","270.00","VMNZC68CST2RA"
"D9","LED_0603","13.446mm","-37.1254mm","13.446mm","-37.1254mm","13.446mm","-36.4269mm","T","270.00","Green LED"
"J1","503480-0400","73.6mm","-38.875mm","73.6mm","-38.875mm","72.85mm","-37.55mm","T","90.00","50340-08-0400"
"J10","PROGRAM_1/4","5.08mm","-45.038mm","5.08mm","-45.038mm","3.175mm","-45.038mm","T","0.00","Debug"
"J11","PROGRAM_1/5","49.4124mm","-40.5798mm","49.4124mm","-40.5798mm","48.7774mm","-40.5798mm","T","0.00","JUMPER"
"J12","PROGRAM_1/5","84.709mm","-9.986mm","84.709mm","-9.986mm","84.709mm","-9.351mm","T","270.00","JUMPER"
"J13","DEBUG_1","68.188mm","-25.901mm","68.188mm","-25.266mm","68.188mm","-27.171mm","B","90.00","Debug"
"J14","PROGRAM_1/4","84.201mm","-16.463mm","84.201mm","-16.463mm","86.106mm","-16.463mm","T","180.00","Program"
